Ejecucion,GA,PSO,AEMP-GA,AEMP-PSO,AEMP-HIB,AEMP-ACO
1,20783,19213,18931,19176,19076,18703
2,20716,19250,19042,19121,18888,19218
3,20776,19318,19204,18976,19003,19550
4,20806,19185,19110,19601,19220,18974
5,20877,19711,19098,19535,18993,19007
6,20741,19602,19025,19418,19693,18779
7,20936,19418,19277,19320,18798,19433
8,20817,19865,18819,19308,19239,18836
9,20884,19678,19079,18929,19213,19133
10,20842,19824,18846,19097,18923,18930
11,20768,19396,19490,18848,18896,19144
12,20723,19290,19106,19168,19291,18743
13,20612,19148,19107,18955,19113,19274
14,20653,20403,18927,18988,19147,19146
15,20984,19365,19186,18679,19202,19040
16,20864,19479,19609,18937,19001,19118
17,20583,19427,18762,18978,18897,19093
18,20842,20056,18884,19487,19485,19426
19,20831,19483,19085,19167,19262,18877
20,20723,19609,19452,19060,19018,18987
